E18014,Google Ads Display Certification
E18012,Google Ads Search Certification
E18015,alpoweredshoppingadscertification
E18016,Google ads Video Certification
E18017,Google Ads Measurement Certification
E18019,Google Ads Apps Certification
E18022,Display & Video 360 Certification Exam
E18023,Google Ads Creative Certification
E18024,Grow Offline Sales Certification
E18025,alpoweredperformanceadscertification
E18026,Google Analytics Certification
E18027,Campaign manager 360 Certification Exam
E18020,YouTube Music Rights Management Certification
E18021,YouTube Music Assessment
E18018,Google Fundamentals of digital marketing
